Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
111,4,0,0,0,1426,2,2
112,4,0,0,0,1559,4,2
113,4,0,0,0,1280,3,2
114,4,0,0,0,1265,4,2
115,4,0,0,0,1262,3,2
116,4,0,0,0,933,2,2
117,4,0,0,0,1215,1,2
118,4,0,0,0,1129,2,2
119,4,0,0,0,809,1,2
120,4,0,0,0,795,2,2
121,4,0,58,0,730,1,2
122,4,0,184,0,936,1,2
123,4,0,666,0,901,2,2
124,4,0,1186,0,1322,1,2
125,4,0,1587,0,1247,1,2
126,4,0,1928,0,1470,2,2
127,4,0,1964,0,1783,1,2
128,4,0,1532,0,5715,3,2
129,4,0,1268,0,5356,2,2
130,4,0,458,0,4438,1,2
131,4,0,119,0,3574,3,2
132,4,0,0,0,2842,2,2
133,4,0,0,0,3282,1,2
134,4,0,0,0,1728,1,2
135,4,0,0,0,1275,1,2
136,4,0,0,0,1773,3,2
137,4,0,0,0,1462,1,2
138,4,0,0,0,1049,2,2
139,4,0,0,0,1065,4,2
140,4,0,0,0,1088,3,2
141,4,0,0,0,1112,3,2
142,4,0,0,0,1114,4,2
143,4,0,0,0,1083,3,2
144,4,0,0,0,886,4,2
145,4,0,64,0,1059,3,2
146,4,0,199,0,1816,2,2
147,4,0,668,0,1720,4,2
148,4,0,1207,0,777,3,2
149,4,0,1632,0,894,4,2
150,4,0,1879,0,2488,2,2
151,4,0,1941,0,2991,4,2
152,4,0,1795,0,3800,4,2
153,4,0,1383,0,3491,4,2
154,4,0,466,0,4093,1,2
155,4,0,61,0,3968,4,2
156,4,0,0,0,2576,2,2
157,4,0,0,0,1861,1,2
158,4,0,0,0,1637,4,2
159,4,0,0,0,802,2,2
160,4,0,0,0,1576,3,2
161,4,0,0,0,1358,3,2
162,4,0,0,0,1299,1,2
163,4,0,0,0,1027,3,2
164,4,0,0,0,1036,2,2
165,4,0,0,0,1027,1,2
166,4,0,0,0,833,2,2
167,4,0,0,0,994,3,2
168,4,0,0,0,809,3,2
169,4,0,132,0,571,2,2
1,5,0,0,0,889,2,3
2,5,0,0,0,1212,2,3
3,5,0,0,0,1687,4,3
4,5,0,0,0,4996,1,3
5,5,0,0,0,5458,3,3
6,5,0,0,0,5695,3,3
7,5,0,0,0,5408,1,3
8,5,0,0,0,2393,4,3
9,5,0,0,0,2942,1,3
10,5,0,0,0,2729,1,3
11,5,0,0,0,3480,1,3
12,5,0,0,0,2809,4,3
13,5,0,0,0,4477,3,3
14,5,0,0,0,1939,2,3
15,5,0,0,0,1181,3,3
16,5,0,0,0,1727,1,3
17,5,0,0,0,447,1,3
18,5,0,0,0,1210,4,3
19,5,0,0,0,605,2,3
20,5,0,0,0,1716,2,3
21,5,0,0,0,2188,4,3
22,5,0,0,0,2481,3,3
23,5,0,0,0,1347,4,3
24,5,0,0,0,1084,1,3
25,5,0,0,0,267,4,3
26,5,0,0,0,342,3,3
27,5,0,0,0,314,1,3
28,5,0,0,0,248,3,3
29,5,0,0,0,474,4,3
30,5,0,0,0,350,4,3
31,5,0,0,0,342,3,3
32,5,0,0,0,342,2,3
33,5,0,0,0,268,1,3
34,5,0,0,0,717,3,3
35,5,0,0,0,4104,2,3
36,5,0,0,0,3632,4,3
37,5,0,0,0,3517,1,3
38,5,0,0,0,5759,3,3
39,5,0,0,0,2671,2,3
40,5,0,0,0,591,2,3
41,5,0,0,0,934,2,3
42,5,0,0,0,972,3,3
43,5,0,0,0,1154,1,3
44,5,0,0,0,1315,4,3
45,5,0,0,0,2102,2,3
46,5,0,0,0,1685,1,3
47,5,0,0,0,3416,3,3
48,5,0,0,0,4757,4,3
49,5,0,0,0,944,1,3
50,5,0,0,0,967,4,3
51,5,0,0,0,1189,3,3
52,5,0,0,0,2163,3,3
53,5,0,0,0,2068,1,3
54,5,0,0,0,1223,4,3
55,5,0,0,0,3401,4,3
56,5,0,0,0,2965,3,3
57,5,0,0,0,3213,3,3
58,5,0,0,0,2926,1,3
59,5,0,0,0,2091,4,3
60,5,0,0,0,3362,3,3
61,5,0,0,0,2802,1,3
62,5,0,0,0,2199,3,3
63,5,0,0,0,2276,1,3
64,5,0,0,0,2673,1,3
65,5,0,0,0,1013,1,3
66,5,0,0,0,525,3,3
67,5,0,0,0,535,4,3
68,5,0,0,0,358,2,3
69,5,0,0,0,240,4,3
70,5,0,0,0,318,1,3
71,5,0,0,0,2601,2,3
72,5,0,0,0,2587,2,3
73,5,0,0,0,672,2,3
74,5,0,0,0,1305,1,3
75,5,0,0,0,2470,3,3
76,5,0,0,0,2867,1,3
77,5,0,0,0,1754,1,3
78,5,0,0,0,2365,1,3
79,5,0,0,0,1685,4,3
80,5,0,0,0,2202,2,3
81,5,0,0,0,2222,3,3
82,5,0,0,0,2311,1,3
83,5,0,0,0,3579,4,3
84,5,0,0,0,1859,1,3
85,5,0,0,0,2318,2,3
86,5,0,0,0,2439,1,3
87,5,0,0,0,1892,2,3
88,5,0,0,0,1767,2,3
89,5,0,0,0,752,1,3
90,5,0,0,0,552,4,3
91,5,0,0,0,543,4,3
92,5,0,0,0,1507,3,3
93,5,0,0,0,1054,3,3
94,5,0,0,0,1483,3,3
95,5,0,0,0,3876,1,3
96,5,0,0,0,4879,3,3
97,5,0,0,0,1532,1,3
